cluster,accountId,assists,boosts,dBNOs,dailyKills,dailyWins,damageDealt,days,headshotKills,heals,killPoints,kills,longestKill,longestTimeSurvived,losses,maxKillStreaks,mostSurvivalTime,rankPoints,rankPointsTitle,revives,rideDistance,roadKills,roundMostKills,roundsPlayed,suicides,swimDistance,teamKills,timeSurvived,top10s,vehicleDestroys,walkDistance,weaponsAcquired,weeklyKills,weeklyWins,winPoints,wins
3,account.137583545beb48ed829c701e3bcf3921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.f538d42ea41b4e87b43fc992d4cb53fd,86,411,253,17,1,35644.66,11,45,523,0,237,308.35284,1641,175,4,1641,0,,66,400284.9,6,11,187,5,467.1941,3,156277,76,12,167139.64,1537,46,4,0,14
3,account.282b7d4e2c5d4247827420df83302cfd,47,476,116,4,0,15813.79,17,29,214,0,118,675.61554,1633,111,3,1633,0,,54,223679.4,1,12,116,4,479.34906,0,106616,60,5,126506.82,757,4,0,0,8
4,account.ac474fc4df784c1d8d2d01bdff33f433,217,877,630,46,1,93864.45,26,131,826,0,595,439.61063,1610,470,4,1610,0,,138,399531.34,4,11,475,1,67.15036,2,238878,112,6,265644.25,2734,46,1,0,9
4,account.9b4bb88e7e274606924dfb49c7a55bc9,327,1559,709,1,0,109498.766,42,152,1333,0,608,447.42825,1644,771,3,1644,0,,229,658069.06,4,9,788,8,1520.4503,5,462371,227,3,503606.72,4230,11,1,0,25
3,account.26865a32fe814ad3aca9aeee6046a46b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.8b9e50f7cff24a088715da41d00ab5cb,165,1130,383,11,1,58872.926,30,59,917,0,341,448.2581,1678,420,3,1678,0,,153,620354,0,6,436,6,1608.1389,3,335163,167,11,404857.47,2080,18,1,0,20
3,account.8353fa475c9a44e888f8b97c72d1876b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,account.db88149d69924bf7bf197e6c0f21010b,148,657,395,11,1,64386.324,21,85,620,0,384,432.99725,1650,327,3,1650,0,,110,502347.6,3,8,343,5,464.2081,1,239413,122,8,242053.1,2105,11,1,0,22
3,account.29da7bf540d2496695d6c4a40b783b1c,234,2115,885,14,2,132774.19,33,132,1565,0,793,552.3618,1721,698,4,1721,0,,187,877279.56,5,10,711,15,1077.6404,13,438625,206,12,411141.03,5002,14,2,0,18
4,account.477c3280bbba4fe5b2b7489956d0df38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,account.e3e721c5c09248aa9d60b548327faa56,154,629,538,0,0,75366.68,49,144,574,0,649,510.45242,1581,287,6,1581,0,,78,547746.5,31,25,324,2,228.65416,0,254703,177,9,298968.34,1983,72,6,0,45
3,account.2a75fed8b3ea4cb184bf89a2cff35421,24,214,84,0,0,11383.255,17,33,143,0,88,287.74884,1593,97,4,1593,0,,18,76535.86,0,14,98,2,188.64557,1,59894,28,2,79032.19,585,0,0,0,1
3,account.60a27110e97242ad9e9c7ffb0e474479,4,25,9,4,1,1148.7434,3,3,27,0,6,113.459816,1552,13,1,1552,0,,7,11355.869,1,2,13,0,31.09472,0,9166,6,0,11737.459,71,4,1,0,2
4,account.3b40417c5c9e47ba8314d556ad983a42,0,0,0,0,0,0,1,0,0,0,0,0,327,1,0,327,0,,0,1438.1592,0,0,1,0,0,0,327,0,0,319.78113,3,0,0,0,0
3,account.024b5b970afc4faeb9097e2ee47add6e,128,923,204,11,0,31389.723,28,50,710,0,201,318.6145,1652,340,3,1652,0,,132,514285.34,0,8,344,3,335.9104,0,241591,135,4,267749.88,2116,11,0,0,9
2,account.e40e5e9cc3c64633b1a4633629aed330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,account.63935e86a45a410cb80e6fefe5789730,167,930,609,30,0,84704.71,38,126,1362,0,586,493.8659,1639,686,4,1639,0,,161,591520.06,20,8,693,35,3376.9634,10,381022,107,17,232945.1,2902,66,1,0,18
4,account.eca2080e53f642b4923e898ce651171c,288,1554,587,3,0,92844.38,53,85,1257,0,578,383.96692,1641,622,3,1641,0,,216,1073906.9,28,8,641,12,684.2131,7,467489,197,9,449020.84,4962,19,2,0,30
3,account.9c07dad739f3401e852548a098ae69e9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,account.6e65ed2b79e641e392a0f40683c59d25,94,675,213,10,0,31734.543,19,45,451,0,194,199.66673,1641,180,3,1641,0,,113,300997.47,1,7,188,6,0,4,145344,72,6,188893.75,1128,10,0,0,10
4,account.cccd69775f3b4228840ad8a66015915c,208,2421,877,25,0,132294.17,50,164,1260,0,750,412.16183,1637,793,4,1637,0,,154,924083.44,9,10,806,6,497.63794,6,465388,181,15,463843.34,5980,125,3,0,21
